name,year,engine_capacity,horse_power,fuel,transmission,drive_unit,mileage,location,price
Nissan Note,2018,1.2,79,бензин,вариатор,передний,102000,Юрга,1 070 000 ₽
Opel Zafira,2012,1.8,140,бензин,робот,передний,215000,Челябинск,860 000 ₽
Kia Cerato,2010,1.6,126,бензин,АКПП,передний,171141,Екатеринбург,950 000 ₽
Audi 80,1988,1.8,88,бензин,механика,передний,356488,Сальск,85 000 ₽
УАЗ Буханка,2009,,27,бензин,механика,4WD,127000,Видное,950 000 ₽
Mitsubishi Airtrek,2002,2.0,126,бензин,АКПП,4WD,302000,Копейск,535 000 ₽
Daewoo Matiz,2012,0.8,51,бензин,механика,передний,190230,Москва,210 000 ₽
Renault Symbol,2005,1.4,75,бензин,механика,передний,180000,Котлас,328 000 ₽
Лада 2107,2006,1.5,71,бензин,механика,задний,73808,Таганрог,210 000 ₽
Ford Mondeo,2019,2.5,149,бензин,АКПП,передний,156000,Санкт-Петербург,2 099 000 ₽
Лада 2112,2007,1.6,89,бензин,механика,передний,210000,Набережные Челны,138 000 ₽
Nissan Maxima,1997,3.0,193,бензин,механика,передний,350000,Сургут,350 000 ₽
Chery Tiggo 8 Pro Max,2022,2.0,197,бензин,робот,4WD,0,Екатеринбург,2 700 000 ₽
Daewoo Lanos,2005,1.6,106,бензин,механика,передний,317000,Севастополь,370 000 ₽
Audi Q7,2006,4.2,350,бензин,АКПП,4WD,180000,Москва,1 550 000 ₽
Nissan Qashqai,2010,2.0,141,бензин,вариатор,4WD,235000,Киров,1 015 000 ₽
Лада Веста Кросс,2019,1.8,122,бензин,механика,передний,44995,Вологда,1 420 000 ₽
Kia Rio,2011,1.4,107,бензин,механика,передний,212000,Челябинск,820 000 ₽
Лада Веста Кросс,2019,1.8,122,бензин,механика,передний,32500,Вологда,1 410 000 ₽
Mazda Demio,2000,1.3,83,бензин,АКПП,передний,210000,Сызрань,230 000 ₽
Audi A5,2008,3.2,265,бензин,АКПП,4WD,198000,Юрюзань,850 000 ₽
Лада Гранта,2023,1.6,90,бензин,механика,передний,24000,Дивное,1 130 000 ₽
Honda Civic,2001,1.6,110,бензин,механика,передний,290000,Ждановский,390 000 ₽
Skoda Octavia,2017,1.6,110,бензин,АКПП,передний,50000,Екатеринбург,1 950 000 ₽
Toyota Land Cruiser Prado,2017,2.7,163,бензин,АКПП,4WD,96000,Хабаровск,4 150 000 ₽
Лада Приора,2011,1.6,98,бензин,механика,передний,0,Пермь,277 000 ₽
Chevrolet Aveo,2013,1.6,115,бензин,АКПП,передний,174000,Саки,849 500 ₽
Mercedes-Benz C-Class,2000,3.2,218,бензин,АКПП,задний,280000,Валерик,480 000 ₽
Лада 2110,2004,1.5,89,бензин,механика,передний,123000,Пермь,93 000 ₽
Лада 2110,2006,1.6,81,бензин,механика,передний,194338,Курагино,265 000 ₽
EXEED RX,2023,2.0,249,бензин,робот,4WD,,Челябинск,3 700 000 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,0,Москва,4 874 990 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,0,Москва,4 974 990 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,0,Москва,4 974 990 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,0,Москва,4 874 990 ₽
Geely Coolray,2023,1.5,150,бензин,робот,передний,0,Москва,2 499 990 ₽
Geely Coolray,2023,1.5,150,бензин,робот,передний,0,Москва,2 499 990 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,0,Москва,4 874 990 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,0,Москва,4 874 990 ₽
Honda Integra,1997,1.6,120,бензин,АКПП,передний,327106,Шадринск,250 000 ₽
Mazda Mazda3,2011,1.6,105,бензин,АКПП,передний,117950,Екатеринбург,1 220 000 ₽
Mazda CX-5,2014,2.5,192,бензин,АКПП,4WD,102000,Екатеринбург,2 163 000 ₽
BMW 4-Series,2018,2.0,249,бензин,АКПП,задний,64715,Таганрог,3 350 000 ₽
Toyota Camry,2013,2.5,181,бензин,АКПП,передний,149800,Екатеринбург,2 121 000 ₽
BMW 5-Series,2007,3.0,197,дизель,АКПП,задний,346000,Могилёв,1 350 000 ₽
Mercedes-Benz GLE Coupe,2015,3.0,333,бензин,АКПП,4WD,109000,Нижневартовск,4 500 000 ₽
Лада 2104,2007,1.6,74,бензин,механика,задний,135000,Армавир,220 000 ₽
Kia Sportage,2001,2.0,128,бензин,механика,4WD,275000,Краснодар,250 000 ₽
Volkswagen Passat,2017,1.4,150,бензин,робот,передний,305000,Сочи,1 900 000 ₽
Toyota Land Cruiser,2019,4.6,309,бензин,АКПП,4WD,90000,Южно-Сахалинск,8 350 000 ₽
Лада 2111,2007,1.6,89,бензин,механика,передний,300000,Ростов-на-Дону,240 000 ₽
BMW 5-Series,2008,4.8,367,бензин,АКПП,задний,300000,Махачкала,1 500 000 ₽
Лада Приора,2012,1.6,87,бензин,механика,передний,65000,Тюмень,360 000 ₽
Ford Focus,2013,1.6,125,бензин,механика,передний,119000,Самара,1 124 900 ₽
Лада Калина,2015,,,механика,передний,147 565 км,119000,Казань,660 494 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,,Москва,3 280 000 ₽
Volkswagen Jetta,2017,1.6,110,бензин,АКПП,передний,54200,Сургут,1 920 000 ₽
Daewoo Matiz,2013,0.8,51,бензин,механика,передний,180000,Подольск,260 000 ₽
Honda Stepwgn,2017,1.5,150,бензин,вариатор,передний,244000,Сочи,2 000 000 ₽
Лада Гранта,2023,1.6,90,бензин,механика,передний,,Алхан-Кала,1 075 000 ₽
Renault Sandero,2015,,,механика,передний,198 000 км,,Казань,943 400 ₽
Subaru Forester,2010,2.0,150,бензин,АКПП,4WD,248000,Ульяновск,1 350 000 ₽
Toyota Highlander,2011,3.5,270,бензин,АКПП,4WD,190000,Нефтеюганск,2 500 000 ₽
Nissan Laurel,1985,2.5,1,бензин,механика,задний,153260,Минск,725 000 ₽
Toyota Camry,2020,2.5,203,бензин,АКПП,передний,0,Самара,2 805 000 ₽
Renault Sandero,2012,1.6,105,бензин,АКПП,передний,129000,Казань,794 500 ₽
Ford Explorer,2020,3.0,365,бензин,АКПП,4WD,63200,Минск,3 958 124 ₽
Лада Калина Кросс,2016,1.6,106,бензин,механика,передний,48350,Санкт-Петербург,770 000 ₽
Geely Coolray,2023,1.5,147,бензин,робот,передний,0,Москва,2 934 990 ₽
Volkswagen Touran,2005,1.9,105,дизель,робот,передний,206006,Санкт-Петербург,270 000 ₽
Land Rover Range Rover Sport,2023,3.0,510,гибрид,АКПП,4WD,0,Казань,21 800 000 ₽
Chevrolet Aveo,2007,1.4,94,бензин,механика,передний,194978,Краснодар,500 000 ₽
Citroen Xsara Picasso,2000,1.7,117,бензин,механика,передний,200000,Оренбург,145 000 ₽
Mazda CX-5,2021,2.5,194,бензин,АКПП,4WD,78000,Феодосия,2 700 000 ₽
Лада Калина,2010,1.6,80,бензин,механика,передний,42000,Самара,425 000 ₽
BMW 5-Series,2020,2.0,190,дизель,АКПП,задний,125000,Санкт-Петербург,3 950 000 ₽
Suzuki SX4,2012,1.6,112,бензин,механика,4WD,142251,Ижевск,1 099 000 ₽
Toyota Mark II,1999,2.5,200,бензин,АКПП,задний,325000,Абакан,650 000 ₽
Honda CR-V,2006,2.0,150,бензин,АКПП,4WD,297798,Ижевск,1 049 000 ₽
Toyota Corolla Fielder,2009,1.5,110,бензин,вариатор,передний,179000,Чита,970 000 ₽
Лада Гранта,2023,1.6,90,бензин,механика,передний,1200,Ростов-на-Дону,1 100 000 ₽
Land Rover Range Rover,2017,4.4,339,дизель,АКПП,4WD,138930,Москва,6 999 999 ₽
Ford Mustang,2018,2.3,310,бензин,АКПП,задний,91000,Сочи,2 700 000 ₽
Chery Tiggo 4,2021,1.5,147,бензин,робот,передний,21774,Ижевск,1 889 000 ₽
Toyota Isis,2012,1.8,143,бензин,вариатор,передний,136753,Владивосток,1 415 000 ₽
Лада 2115 Самара,2005,1.5,76,бензин,механика,передний,184765,Москва,130 000 ₽
Haval F7,2023,2.0,190,бензин,робот,4WD,0,Санкт-Петербург,3 149 000 ₽
